City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Shu,KZ,43.5983,73.7614,61.09,78,54,11.97,broken clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,73,20,8.05,few clouds
173,Georgetown,MY,5.4112,100.3354,81.95,89,20,3.44,few clouds
174,Raga,SS,8.4596,25.678,76.23,72,100,5.5,overcast clouds
175,Hasaki,JP,35.7333,140.8333,61.29,89,100,18.23,overcast clouds
176,Tsaratanana,MG,-16.7833,47.65,68.16,75,3,9.01,clear sky
177,Yanam,IN,16.7333,82.2167,85.37,58,100,7.7,overcast clouds
178,Bolkhov,RU,53.4433,36.0044,45.63,95,100,11.74,overcast clouds
179,Urussu,RU,54.5981,53.4631,34.92,95,21,6.85,few clouds
180,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,38,0,12.66,clear sky
181,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,20,8.05,few clouds
182,Dillon,US,34.4166,-79.3712,78.78,57,95,16.24,light rain
183,Zaykovo,RU,57.5613,62.7568,43.92,99,100,3.11,overcast clouds
184,Talara,PE,-4.5772,-81.2719,75.96,64,100,13.8,overcast clouds
185,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,69,75,8.05,broken clouds
186,Coihaique,CL,-45.5752,-72.0662,39.81,93,100,3.44,light rain
187,Birao,CF,10.2849,22.7882,81.97,56,80,10.31,broken clouds
188,Payo,ID,-3.7508,103.6372,74.12,95,86,1.36,overcast clouds
189,Lavrentiya,RU,65.5833,-171.0,37.26,94,82,9.42,broken clouds
190,Pandamatenga,BW,-18.5278,25.627,50.41,30,0,5.97,clear sky
191,Babayurt,RU,43.6002,46.7789,55.71,76,43,9.04,scattered clouds
192,Yellowknife,CA,62.456,-114.3525,54.12,54,75,8.05,light rain
193,Palu,ID,-0.8917,119.8707,75.65,98,100,1.52,overcast clouds
194,Njeru,UG,0.4186,33.1731,66.13,85,100,3.4,overcast clouds
195,Oktyabrskiy,RU,54.4815,53.471,34.38,95,29,6.17,scattered clouds
196,Tiksi,RU,71.6872,128.8694,26.19,98,100,3.27,overcast clouds
197,Quatre Cocos,MU,-20.2078,57.7625,73.51,68,4,12.26,clear sky
198,Barcelos,PT,41.5388,-8.6151,67.91,98,92,5.19,overcast clouds
199,Salto,UY,-31.3833,-57.9667,68.16,64,75,4.61,broken clouds
200,Mwinilunga,ZM,-11.7358,24.4293,61.32,61,42,3.33,scattered clouds
201,Urusha,RU,54.05,122.9,46.27,69,100,2.89,overcast clouds
202,Tabuk,PH,17.4189,121.4443,73.0,94,92,1.57,overcast clouds
203,Lagoa,PT,39.05,-27.9833,63.66,94,87,1.68,overcast clouds
