City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
686,Pafos,CY,67.78,few clouds,34.7667,32.4167,Elysium Hotel
692,Chitipa,MW,63.66,overcast clouds,-9.7024,33.2697,Tulipoka Lodges
693,Guilin,CN,66.31,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
696,Apollonia,GR,63.99,clear sky,36.9716,24.7231,Hotel Anthousa
697,Abomey,BJ,74.35,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
700,Peace River,CA,61.11,clear sky,56.2501,-117.286,BCMInns - Peace River
701,Langsa,ID,74.53,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
705,Nabire,ID,75.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
711,Mtinko,TZ,61.29,overcast clouds,-4.55,34.85,
713,Maneadero,MX,66.47,clear sky,31.7167,-116.5667,Casa De Thompson
